time,"# warm-ups since codes cleared ()","Absolute load value (%)","Absolute pedal position D (%)","Absolute pedal position E (%)","Absolute throttle position B (%)","Ambient air temperature (℃)","Average fuel consumption (L/100km)","Average fuel consumption (Today) (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption (Week) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Catalyst temperature Bank 1 Sensor 1 (℃)","Catalyst temperature Bank 2 Sensor 1 (℃)","Commanded evaporative purge (%)","Commanded throttle actuator (%)","Control module voltage (V)","Distance traveled since codes cleared (km)","Distance traveled with MIL on (km)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Ethanol fuel percent (%)","Evap. system vapor pressure (Pa)","Free space in fuel tank (L)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel level input (%) (%)","Fuel level input (V) (L)","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price ($)","Fuel used price (Today) ($)","Fuel used price (total) ($)","Fuel used price (Week) ($)","Fuel/Air commanded equivalence ratio ()","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Long term fuel % trim - Bank 1 (%)","Long term fuel % trim - Bank 2 (%)","MAF air flow rate (g/sec)","Oxygen sensor 1 Wide Range Current (mA) (mA)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 2 Bank 1 Voltage (V)","Oxygen sensor 2 Bank 2 Voltage (V)","Oxygen sensor 5 Wide Range Current (mA) (mA)","Oxygen sensor 5 Wide Range Equivalence ratio ()","Power from MAF (hp)","Relative throttle position (%)","Throttle position (%)","Timing advance (°)","Vehicle acceleration (g)","Vehicle speed (km/h)",
03:46:48.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,623,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:48.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,
03:46:48.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,622,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:48.830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,
03:46:48.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:48.890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,
03:46:48.920,,,,,,,,,,,,,,,,,,,,,,,,,,,,623,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:48.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,
03:46:48.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,627,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:49.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,
03:46:49.270,,,,,,,,,,,,,,,,,,,,,,,,,,,,633,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:49.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,
03:46:49.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,648,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:49.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,
03:46:49.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,645,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:49.790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,
03:46:49.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:49.850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,
03:46:49.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,643,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:49.910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,
03:46:49.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,642,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:49.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,
03:46:50.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,642,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:50.030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,
03:46:50.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,643,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:50.090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,
03:46:50.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,642,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:50.150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,
